2021-12-09 15:37:44,583 DEBUG transport.py Сформирован словарь сообщения: {'action': 'message', 'from': 'gagik', 'to': 'fuganok', 'time': 1639039064.5837522, 'mess_text': 'Ti5I8tUhvZLvh368WgouN2oFOPMUjLPh/hT5xtL1D3I5L63/GXAjY0I8h2SZ8xdzTMv4yUcH15ByaP2vk6d99fOFsHqfCTwlS1CuSaisWGSKnFRZnj5hdjBN+SGNSPRcTM/dd+n42cxd4XoWiHdbb8dEE0V3M68mKzJaUVXnfTMGFKF4XhOKuGMxlht0Tau8TCfovSF8X4n0n/iy2yOf52ikGThL999u0U9KYzsOS7FNx9xI1mozQfLXrjNZuhz64WH7dXU/u3B4IExdXsGyU00c8kw65uqi1yQUml9UhjTblPe7mtFSRHv1POHSxoRp8XqQ8jAn1ckNFUR870IUdg=='}
2021-12-09 15:39:13,259 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:14,773 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:16,284 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:17,792 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:19,300 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:20,820 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:22,340 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:23,860 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:25,369 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:26,890 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:28,405 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:29,922 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:31,433 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:32,943 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:34,453 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:35,968 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:37,479 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:38,983 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:40,499 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:42,009 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:43,520 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:45,032 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:46,544 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:48,055 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:49,566 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
